Dataset,k,F1,AUC,AUPRC,F1_std,AUC_std,AUPRC_std
heart,2,0,0,0,0,0,0
heart,3,0,0,0,0,0,0
heart,4,0,0,0,0,0,0
diabetes,2,0,0,0,0,0,0
diabetes,3,0.37319957004657833,0.540181996344008,0.5226484846947306,0.0,0.0,0.0
diabetes,4,0.37319957004657833,0.5,0.5,0.0,0.0,0.0
diabetes,5,0.37319957004657833,0.5,0.5,0.0,0.0,0.0
cic_los,2,0,0,0,0,0,0
cic_los,3,0.3510334212840809,0.6304401178745561,0.4258088380109269,0.0,0.0,0.0
cic_los,4,0.15284552845528457,0.6007983024554973,0.402463726985391,0.0,0.0,0.0
cic_los,5,0.1865995244090083,0.6081359873917025,0.40263830826125324,0.0,0.0,0.0
ards,2,0,0,0,0,0,0
ards,3,0.48135843484680696,0.6207854117946303,0.5280076366047782,0.0,0.0,0.0
ards,4,0.5372568298899715,0.576684743819474,0.5351731831340931,0.0,0.0,0.0
ards,5,0.5133500348391283,0.6426907117475551,0.5559364746689336,0.0,0.0,0.0
cic,2,0,0,0,0,0,0
cic,3,0.6647720889301808,0.7570470451010887,0.655796616924814,0.0,0.0,0.0
cic,4,0.6956520965298999,0.7815036754552986,0.6632557416704951,0.0,0.0,0.0
cic,5,0.6782504009235842,0.7942739749422245,0.6732700393909667,0.0,0.0,0.0
sepsis,2,0,0,0,0,0,0
sepsis,3,0.7963829622416005,0.8059034739343762,0.7544130814215966,0.0,0.0,0.0
sepsis,4,0.7920764403535179,0.8315934356794874,0.7521807936619649,0.0,0.0,0.0
sepsis,5,0.7797205928200508,0.7601197020426023,0.7379952225792025,0.0,0.0,0.0
aki,2,0,0,0,0,0,0
aki,3,0.6303003136160985,0.6444354152155407,0.5983383241648905,0.0,0.0,0.0
aki,4,0.634551657302378,0.6490809534865722,0.6031011410624898,0.0,0.0,0.0
aki,5,0.5843178610911572,0.633142429636509,0.5929138602679955,0.0,0.0,0.0
wid_mortality,2,0,0,0,0,0,0
wid_mortality,3,0.47724578203374374,0.7216249214461792,0.5955068757689715,0.0,0.0,0.0
wid_mortality,4,0.687855247257182,0.7344102259554461,0.6185412350458837,0.0,0.0,0.0
wid_mortality,5,0.47724578203374374,0.7633703473735165,0.6187369043838591,0.0,0.0,0.0

ards24,3,0.480,0.655,0.553,0.001,0.019,0.004
ards24,4,0.480,0.647,0.550,0.001,0.022,0.015
ards24,5,0.480,0.580,0.533,0.001,0.049,0.022

sepsis24,3,0.500,0.714,0.579,0.033,0.034,0.013
sepsis24,4,0.547,0.684,0.574,0.065,0.050,0.020
sepsis24,5,0.530,0.720,0.585,0.058,0.042,0.006
