Dataset	k	F1	AUC	AUPRC	MINPSE	ACC	SIL	HTFD	WDFD	F1_std	AUC_std	AUPRC_std	MINPSE_std	ACC_std	SIL_std	HTFD_std	WDFD_std

diabetes	1	0.453	0.572	0.461	0.309	0.595	0.000	0.000	0.000	0.026	0.007	0.006	0.022	0.004	0.000	nan	nan
diabetes	2	0.427	0.557	0.451	0.294	0.594	0.480	0.000	0.000	0.020	0.013	0.008	0.008	0.003	0.153	nan	nan
diabetes	3	0.433	0.561	0.453	0.297	0.594	0.456	0.000	0.000	0.037	0.011	0.007	0.024	0.003	0.046	nan	nan
diabetes	4	0.420	0.555	0.450	0.286	0.594	0.465	0.000	0.000	0.025	0.012	0.011	0.015	0.003	0.039	nan	nan
cic	1	0.688	0.847	0.527	0.504	0.884	0.000	0.000	0.000	0.024	0.012	0.042	0.033	0.007	0.000	nan	nan
cic	2	0.671	0.833	0.499	0.477	0.880	0.469	0.000	0.000	0.034	0.016	0.051	0.041	0.008	0.230	nan	nan
cic	3	0.678	0.823	0.498	0.484	0.881	0.529	0.000	0.000	0.037	0.026	0.046	0.043	0.006	0.055	nan	nan
cic	4	0.662	0.809	0.450	0.454	0.875	0.529	0.000	0.000	0.018	0.029	0.062	0.034	0.006	0.044	nan	nan
cic_los	1	0.352	0.511	0.286	0.363	0.396	0.000	0.000	0.000	0.041	0.022	0.027	0.045	0.018	0.000	nan	nan
cic_los	2	0.336	0.513	0.285	0.346	0.377	0.101	0.000	0.000	0.055	0.028	0.024	0.055	0.030	0.213	nan	nan
cic_los	3	0.344	0.515	0.285	0.368	0.385	0.192	0.000	0.000	0.021	0.021	0.017	0.021	0.034	0.285	nan	nan
cic_los	4	0.365	0.516	0.292	0.380	0.384	0.415	0.000	0.000	0.027	0.028	0.025	0.021	0.024	0.204	nan	nan
ards24	1	0.546	0.720	0.229	0.301	0.924	0.000	0.000	0.000	0.015	0.017	0.023	0.044	0.003	0.000	nan	nan
ards24	2	0.554	0.701	0.213	0.284	0.922	0.384	0.000	0.000	0.022	0.023	0.026	0.025	0.004	0.237	nan	nan
ards24	3	0.552	0.705	0.204	0.269	0.922	0.504	0.000	0.000	0.028	0.029	0.021	0.039	0.003	0.067	nan	nan
ards24	4	0.535	0.677	0.184	0.305	0.923	0.401	0.000	0.000	0.016	0.020	0.021	0.046	0.004	0.060	nan	nan
sepsis24	1	0.521	0.812	0.250	0.263	0.939	0.000	0.000	0.000	0.015	0.012	0.016	0.040	0.003	0.000	nan	nan
sepsis24	2	0.522	0.800	0.221	0.281	0.939	0.660	0.000	0.000	0.020	0.015	0.038	0.052	0.003	0.091	nan	nan


wid_mortality	1	0.666	0.861	0.459	0.457	0.924	0.000	0.000	0.000	0.014	0.006	0.024	0.019	0.002	0.000	nan	nan
wid_mortality	2	0.647	0.849	0.430	0.440	0.923	0.482	0.000	0.000	0.016	0.006	0.020	0.020	0.001	0.230	nan	nan
wid_mortality	3	0.640	0.838	0.390	0.424	0.921	0.482	0.000	0.000	0.017	0.018	0.033	0.019	0.002	0.157	nan	nan
wid_mortality	4	0.638	0.841	0.409	0.424	0.921	0.474	0.000	0.000	0.022	0.013	0.039	0.027	0.002	0.065	nan	nan
