Dataset,k,AUC,AUPRC,SIL
aki_new,2,0.57976,0.55702,0.5352547
aki_new,3,0.58582,0.55903,0.40781415
aki_new,4,0.60332,0.59046,0.38749984
aki_new,5,0.58155,0.53729,0.46365887
aki_new,6,0.59422,0.56708,0.41888544
aki_new,7,0.59291,0.54557,0.39793497
aki_new,8,0.56690,0.57832,0.40312067
aki_new,10,0.59440,0.57681,0.15041801

ards_new,2,0.52026,0.14139,0.5713361
ards_new,3,0.84272,0.49062,0.4545779
ards_new,4,0.90598,0.53549,0.72642434
ards_new,5,0.91327,0.60074,0.32716218
ards_new,6,0.86832,0.46250,0.51939166
ards_new,7,0.90814,0.53281,0.4749856
ards_new,8,0.90152,0.53465,0.32601717
ards_new,10,0.90228,0.49444,0.4017758
